,Date,Open,High,Low,Volume,News Sentiment
212,2009-06-12,8770.009766,8805.530273,8716.730469,164020000,-0.16893430054187775
213,2009-06-15,8798.5,8798.5,8577.900391,230220000,-0.14703369140625
214,2009-06-16,8612.44043,8643.650391,8499.379883,240690000,-0.15234309434890747
215,2009-06-17,8504.360352,8563.009766,8461.290039,237870000,-0.1721217930316925
216,2009-06-18,8496.730469,8590.519531,8475.120117,220050000,-0.18456588685512543
217,2009-06-19,8556.959961,8616.589844,8496.730469,528710000,-0.19655011594295502
218,2009-06-22,8538.519531,8538.830078,8334.549805,291240000,-0.18049538135528564
219,2009-06-23,8340.44043,8370.900391,8286.410156,237150000,-0.1676943600177765
220,2009-06-24,8323.509766,8428.410156,8259.879883,189430000,-0.17214860022068024
221,2009-06-25,8299.25,8490.459961,8259.429688,222540000,-0.18138764798641205
222,2009-06-26,8468.540039,8468.769531,8401.360352,307640000,-0.179791659116745
223,2009-06-29,8440.129883,8533.230469,8429.089844,216480000,-0.15782316029071808
224,2009-06-30,8528.929688,8560.44043,8393.950195,233340000,-0.12633360922336578
225,2009-07-01,8447.530273,8580.469727,8447.530273,184600000,-0.13248606026172638
226,2009-07-02,8503.0,8503.230469,8280.740234,157800000,-0.1352759450674057
227,2009-07-06,8280.740234,8327.969727,8205.990234,206900000,-0.1202501654624939
228,2009-07-07,8324.950195,8326.30957,8154.379883,210880000,-0.1254771202802658
229,2009-07-08,8163.600098000001,8219.519531,8087.189941,325250000,-0.1384011059999466
230,2009-07-09,8179.009765999999,8228.669922,8145.310059,192660000,-0.1685929149389267
231,2009-07-10,8182.490234000001,8183.850098000001,8093.310059,174260000,-0.18670974671840668
232,2009-07-13,8146.52002,8331.679688,8130.419922,253520000,-0.18233205378055573
233,2009-07-14,8331.370117,8361.230469,8285.200195,189170000,-0.2072615921497345
234,2009-07-15,8363.950195,8628.230469,8363.950195,305000000,-0.19940060377120972
235,2009-07-16,8612.660156,8739.549805,8584.400391,216580000,-0.20678919553756714
236,2009-07-17,8711.889648,8754.290039,8674.410156,301410000,-0.2333773672580719
237,2009-07-20,8746.049805,8854.799805,8745.900391,213730000,-0.2283957600593567
238,2009-07-21,8848.150391,8927.129883,8811.269531,218910000,-0.2133687138557434
239,2009-07-22,8912.389648,8949.799805,8860.320313,199010000,-0.21843290328979492
240,2009-07-23,8882.30957,9096.719727,8866.44043,274760000,-0.23081567883491516
241,2009-07-24,9066.110352,9100.879883,9007.389648,214310000,-0.21302999556064606
242,2009-07-27,9093.089844,9123.400391,9034.519531,176830000,-0.22253543138504028
243,2009-07-28,9106.919922,9124.910156,9007.469727,198270000,-0.2078593671321869
244,2009-07-29,9092.339844,9094.830078,9014.19043,190510000,-0.18498404324054718
245,2009-07-30,9072.839844,9246.429688,9072.610352,232410000,-0.16307449340820312
246,2009-07-31,9154.610352,9218.769531,9133.450195,265570000,-0.15158815681934357
247,2009-08-03,9173.650391,9298.429688,9173.650391,221690000,-0.11388968676328659
248,2009-08-04,9285.049805,9321.099609,9250.740234,195990000,-0.11275812983512878
249,2009-08-05,9315.360352,9318.080078,9206.450195,236610000,-0.10507131367921829
250,2009-08-06,9277.19043,9325.110352,9208.799805,244450000,-0.11715992540121078
251,2009-08-07,9258.450195,9437.709961,9258.450195,216600000,-0.1400453746318817
252,2009-08-10,9368.410156,9371.959961,9290.339844,161370000,-0.15488877892494202
253,2009-08-11,9334.330078,9334.330078,9216.879883,171380000,-0.16357797384262085
254,2009-08-12,9236.05957,9424.110352,9221.019531,197420000,-0.15352173149585724
255,2009-08-13,9362.290039,9406.5,9305.30957,145620000,-0.14077448844909668
256,2009-08-14,9398.040039,9401.969727,9232.830078,172780000,-0.15518230199813843
257,2009-08-17,9313.849609,9313.849609,9116.519531,207100000,-0.14003194868564606
258,2009-08-18,9134.360352,9233.509766,9134.360352,158530000,-0.13502544164657593
259,2009-08-19,9208.679688,9313.089844,9131.94043,176910000,-0.12514369189739227
260,2009-08-20,9278.549805,9363.950195,9267.969727,151740000,-0.13461211323738098
261,2009-08-21,9347.860352,9519.110352,9347.25,293530000,-0.14966291189193726
262,2009-08-24,9506.179688,9587.730469,9486.230469,190590000,-0.12512442469596863
263,2009-08-25,9509.209961,9620.0,9508.980469,173890000,-0.13550379872322083
264,2009-08-26,9538.610352,9582.969727,9485.780273,154660000,-0.14175471663475037
265,2009-08-27,9541.629883,9609.719727,9459.400391,163980000,-0.12167321145534515
266,2009-08-28,9582.740234,9630.200195,9495.980469,205770000,-0.14527678489685059
267,2009-08-31,9542.910156,9543.05957,9436.129883,201600000,-0.15839867293834686
268,2009-09-01,9492.320313,9557.950195,9292.080078,267680000,-0.15379279851913452
269,2009-09-02,9306.209961,9330.929688,9262.299805,175200000,-0.14797215163707733
270,2009-09-03,9282.030273,9350.269531,9252.929688,168750000,-0.13843899965286255
271,2009-09-04,9345.360352,9445.719727,9321.629883,152400000,-0.13189122080802917
272,2009-09-08,9440.129883,9511.019531,9439.980469,202370000,-0.12471241503953934
273,2009-09-09,9496.589844,9577.219727,9476.179688,190820000,-0.11741139739751816
274,2009-09-10,9546.540039,9633.0,9508.219727,234130000,-0.11277563124895096
275,2009-09-11,9625.44043,9649.849609,9571.55957,196760000,-0.1455204039812088
276,2009-09-14,9598.080078,9631.110352,9535.959961,196480000,-0.21124158799648285
277,2009-09-15,9626.419922,9713.709961,9580.929688,224030000,-0.24275001883506775
278,2009-09-16,9683.709961,9799.719727,9679.179688,241270000,-0.25082144141197205
279,2009-09-17,9789.820313,9854.580078,9749.459961,225470000,-0.2507791817188263
280,2009-09-18,9784.75,9847.709961,9784.679688,424930000,-0.22172170877456665
281,2009-09-21,9818.610352,9818.69043,9725.879883,172830000,-0.1701292097568512
282,2009-09-22,9779.610352,9843.400391,9771.910156,194620000,-0.1763971596956253
283,2009-09-23,9830.629883,9917.990234,9740.839844,233330000,-0.1693173199892044
284,2009-09-24,9749.990234,9805.389648,9666.030273,201890000,-0.16630659997463226
285,2009-09-25,9706.679688,9735.929688,9641.009766,189350000,-0.17198379337787628
286,2009-09-28,9663.230469,9823.669922,9663.230469,163780000,-0.15935173630714417
287,2009-09-29,9789.740234,9834.480469,9739.110352,154000000,-0.18177443742752075
288,2009-09-30,9741.830078,9776.820313,9608.589844,268390000,-0.17783644795417786
289,2009-10-01,9711.599609,9711.669922,9500.370117,266990000,-0.18946658074855804
290,2009-10-02,9507.620117,9524.780273,9430.080078,219750000,-0.17628821730613708
291,2009-10-05,9488.730469,9625.05957,9481.089844,173850000,-0.18272319436073303
292,2009-10-06,9601.259766,9774.320313,9601.259766,206020000,-0.15701250731945038
293,2009-10-07,9725.69043,9740.320313,9675.620117,167650000,-0.1426965743303299
294,2009-10-08,9728.219727,9836.669922,9728.070313,209580000,-0.12317847460508347
295,2009-10-09,9786.040039,9865.009766,9764.879883,161120000,-0.12010950595140457
296,2009-10-12,9865.240234,9931.820313,9849.370117,158850000,-0.08565950393676758
297,2009-10-13,9883.980469,9895.089844,9815.05957,211510000,-0.0802912786602974
298,2009-10-14,9873.549805,10027.730469,9873.480469,284810000,-0.0615747906267643
299,2009-10-15,10014.879883,10062.94043,9977.469727,252480000,-0.05456797033548355
300,2009-10-16,10061.360352,10061.660156,9939.910156,307770000,-0.04816007241606712
301,2009-10-19,9996.669922,10117.959961,9995.150391,186240000,-0.053452715277671814
302,2009-10-20,10092.419922,10098.389648,9992.80957,214500000,-0.06476005166769028
303,2009-10-21,10038.839844,10119.469727,9943.759766,251050000,-0.0879456028342247
304,2009-10-22,9946.179688,10105.19043,9916.780273,231900000,-0.09557316452264786
305,2009-10-23,10099.900391,10109.570313,9932.5,305670000,-0.10839676856994629
306,2009-10-26,9972.330078,10072.320313,9849.450195,270050000,-0.1311347484588623
307,2009-10-27,9868.339844,9947.540039,9837.959961,237060000,-0.12711814045906067
308,2009-10-28,9881.110352,9902.419922,9758.080078,257370000,-0.12192485481500626
309,2009-10-29,9762.910156,9969.910156,9759.129883,248950000,-0.12236608564853668
310,2009-10-30,9961.519531,9962.129883,9684.540039,327980000,-0.11522531509399414
311,2009-11-02,9712.129883,9858.589844,9678.950195,242460000,-0.11778303980827332
312,2009-11-03,9787.469727,9787.469727,9703.889648,231520000,-0.09360324591398239
313,2009-11-04,9767.299805,9928.040039,9767.139648,224130000,-0.08264591544866562
314,2009-11-05,9807.799805,10013.070313,9807.799805,211040000,-0.081855908036232
315,2009-11-06,10001.349609,10044.5,9936.80957,181010000,-0.08905970305204391
316,2009-11-09,10020.620117,10228.230469,10020.620117,227470000,-0.04587404429912567
317,2009-11-10,10223.009766,10260.799805,10197.69043,193950000,-0.037507813423871994
318,2009-11-11,10247.419922,10341.969727,10246.139648,166920000,-0.04330262914299965
319,2009-11-12,10289.820313,10321.639648,10171.240234,183810000,-0.05502874776721001
320,2009-11-13,10197.849609,10305.69043,10192.030273,167280000,-0.06580226868391037
321,2009-11-16,10267.530273,10434.240234,10267.450195,202570000,-0.05082753673195839
322,2009-11-17,10404.769531,10438.169922,10361.990234,158320000,-0.07962314784526825
323,2009-11-18,10426.269531,10432.660156,10360.099609,166340000,-0.08139268308877945
324,2009-11-19,10425.330078,10425.330078,10256.110352,196250000,-0.08295692503452301
325,2009-11-20,10327.910156,10342.719727,10271.679688,230430000,-0.10381198674440384
326,2009-11-23,10320.129883,10495.610352,10320.049805,182350000,-0.10394568741321564
327,2009-11-24,10451.25,10453.969727,10359.580078,163750000,-0.09713847190141678
328,2009-11-25,10432.959961,10481.480469,10420.94043,130080000,-0.09020934998989105
329,2009-11-27,10452.230469,10452.230469,10231.25,130290000,-0.06714241951704025
330,2009-11-30,10309.769531,10364.339844,10263.290039,223580000,-0.15235114097595215
331,2009-12-01,10343.820313,10501.280273,10343.44043,190220000,-0.15721814334392548
332,2009-12-02,10470.44043,10513.519531,10421.469727,159500000,-0.15957500040531158
333,2009-12-03,10455.629883,10507.629883,10350.049805,243970000,-0.1505707949399948
334,2009-12-04,10368.570313,10516.700195,10311.80957,460660000,-0.16262216866016388
335,2009-12-07,10386.860352,10443.160156,10360.179688,196580000,-0.1711018979549408
336,2009-12-08,10385.419922,10385.650391,10249.839844,221770000,-0.17466901242733002
